id,title,claim,Type,url,domain,true/false,published_paper_urls,published_paper_title,published_paper_abstract,prompts,selected_sentence_list
50,Targeting cancer cells with resonant frequencies has not been shown to 'cure' cancer,Targeting cancer cells with resonant frequencies has been shown to 'cure' cancer.,Claim,https://www.reuters.com/news/article/factcheck-cancer-resonant-frequencies/fact-check-targeting-cancer-cells-with-resonant-frequencies-has-not-been-shown-to-cure-cancer-idUSL1N3012LG,Health,False,https://www.tandfonline.com/doi/full/10.3109/21678421.2013.850802,ALSUntangled No. 23: The Rife Machine and retroviruses,"In the 1920s and 1930s, Royal Raymond Rife developed special microscopes. Using these he claimed he could visualize living microorganisms, including viruses too small to be seen with any other existing technology, via the color of auras emitted as they vibrated (Citation1). In a 1961 deposition he explained this as follows: A special risley prism which works on a counter rotation principle selects a portion of the light frequency which illuminates these viruses in their own characteristic chemical colors by emission of coordinative light frequency and the viruses become readily identifiable by the colors revealed on observation. (Citation2). Several of his microscopes still exist. Their principles and alleged function have never been validated, and they have never been adopted for use. Rife went on to postulate that the microorganisms he was seeing were involved in human diseases, including cancer (Citation3-6). He invented a machine that he claimed could transmit radio frequency energy into a person and vibrate these microorganisms at a mortal oscillatory rate, thereby killing them and improving the disease they were causing (Citation3-6). Rife's claims were based upon his microscopic evaluations, which again do not appear to be legitimate. The very concept that diseases can be cured by radio frequency energy, originally proposed by Albert Abrams and referred to as 'radionics' (Citation7), was later investigated and disproven by the Scientific American (Citation7,Citation8). Nonetheless, there remain those who believe in Rife's work, claim it was suppressed as part of an elaborate conspiracy (Citation9) and continue to sell similar energy-transmitting devices (Citation10-12). Here, on behalf of PALS who asked about it, we review the potential use of the Rife Machine for ALS.","Claim: Targeting cancer cells with resonant frequencies has been shown to 'cure' cancer.
Abstract:
0. In the 1920s and 1930s, Royal Raymond Rife developed special microscopes.
1. Using these he claimed he could visualize living microorganisms, including viruses too small to be seen with any other existing technology, via the color of auras emitted as they vibrated (Citation1).
2. In a 1961 deposition he explained this as follows: “A special risley prism which works on a counter rotation principle selects a portion of the light frequency which illuminates these viruses in their own characteristic chemical colors by emission of coordinative light frequency and the viruses become readily identifiable by the colors revealed on observation.” (Citation2).
3. Several of his microscopes still exist.
4. Their principles and alleged function have never been validated, and they have never been adopted for use.
5. Rife went on to postulate that the microorganisms he was seeing were involved in human diseases, including cancer (Citation3–6).
6. He invented a machine that he claimed could transmit radio frequency energy into a person and vibrate these microorganisms at a “mortal oscillatory rate”, thereby killing them and improving the disease they were causing (Citation3–6).
7. Rife's claims were based upon his microscopic evaluations, which again do not appear to be legitimate.
8. The very concept that diseases can be cured by radio frequency energy, originally proposed by Albert Abrams and referred to as ‘radionics’ (Citation7), was later investigated and disproven by the Scientific American (Citation7,Citation8).
9. Nonetheless, there remain those who believe in Rife's work, claim it was suppressed as part of an elaborate conspiracy (Citation9) and continue to sell similar energy-transmitting devices (Citation10–12).
10. Here, on behalf of PALS who asked about it, we review the potential use of the Rife Machine for ALS.
","[0, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
132,Updated CDC guidance on monkeypox transmission still includes 'respiratory transmission',Updated CDC guidance on monkeypox transmission still includes 'respiratory transmission'.,Claim,https://www.reuters.com/news/article/factcheck-monkeypox-airborne-respiratory/fact-check-updated-cdc-guidance-on-monkeypox-transmission-still-includes-respiratory-transmission-idUSL1N2ZH1VA,Health,True,https://www.pnas.org/doi/10.1073/pnas.0706849105,Modeling targeted layered containment of an influenza pandemic in the United States,"Planning a response to an outbreak of a pandemic strain of influenza is a high public health priority. Three research groups using different individual-based, stochastic simulation models have examined the consequences of intervention strategies chosen in consultation with U.S. public health workers. The first goal is to simulate the effectiveness of a set of potentially feasible intervention strategies. Combinations called targeted layered containment (TLC) of influenza antiviral treatment and prophylaxis and nonpharmaceutical interventions of quarantine, isolation, school closure, community social distancing, and workplace social distancing are considered. The second goal is to examine the robustness of the results to model assumptions. The comparisons focus on a pandemic outbreak in a population similar to that of Chicago, with ?8.6 million people. The simulations suggest that at the expected transmissibility of a pandemic strain, timely implementation of a combination of targeted household antiviral prophylaxis, and social distancing measures could substantially lower the illness attack rate before a highly efficacious vaccine could become available. Timely initiation of measures and school closure play important roles. Because of the current lack of data on which to base such models, further field research is recommended to learn more about the sources of transmission and the effectiveness of social distancing measures in reducing influenza transmission.","Claim: Updated CDC guidance on monkeypox transmission still includes 'respiratory transmission'.
Abstract:
0. Planning a response to an outbreak of a pandemic strain of influenza is a high public health priority.
1. Three research groups using different individual-based, stochastic simulation models have examined the consequences of intervention strategies chosen in consultation with U.S. public health workers.
2. The first goal is to simulate the effectiveness of a set of potentially feasible intervention strategies.
3. Combinations called targeted layered containment (TLC) of influenza antiviral treatment and prophylaxis and nonpharmaceutical interventions of quarantine, isolation, school closure, community social distancing, and workplace social distancing are considered.
4. The second goal is to examine the robustness of the results to model assumptions.
5. The comparisons focus on a pandemic outbreak in a population similar to that of Chicago, with ≈8.6 million people.
6. The simulations suggest that at the expected transmissibility of a pandemic strain, timely implementation of a combination of targeted household antiviral prophylaxis, and social distancing measures could substantially lower the illness attack rate before a highly efficacious vaccine could become available.
7. Timely initiation of measures and school closure play important roles.
8. Because of the current lack of data on which to base such models, further field research is recommended to learn more about the sources of transmission and the effectiveness of social distancing measures in reducing influenza transmission.
","[0, 1, 2, 3, 4, 5, 6, 8]"
145,"U.S. carrots are not 'soaked' in bleach, chlorpropham is never used","U.S. carrots are 'soaked' in bleach, chlorpropham is used.",Claim,https://www.reuters.com/news/article/factcheck-carrots-sprout-inhibitor/fact-check-u-s-carrots-are-not-soaked-in-bleach-chlorpropham-is-never-used-idUSL1N2ZD1Q5,Health,False,https://link.springer.com/article/10.1007/s13197-015-1980-3,Sprout suppression on potato: need to look beyond CIPC for more effective and safer alternatives,"World over, potatoes are being stored at 8-12 ¬∞C (85-90 % RH). This is the most common way of long-term (up to 6 to 9 months) storage of potatoes. The benefit of storing the potatoes within the temperature range of 8-12 ¬∞C is minimum accumulation of sugars in stored potato tubers. In sub-temperate, sub-tropical and tropical countries of the world, short-term (3 to 4 months) storage of potatoes is being done by non-refrigerated traditional/on-farm methods. These short- and long-term storage methods keep the stored potatoes suitable not only for table purpose but also for processing. However, once the natural dormancy period of potato is over, the prevailing temperatures in these storage methods favour sprouting and sprout growth. Therefore, use of some sprout suppressant to check the sprout growth becomes essential under these methods of potato storage. CIPC [Isopropyl N-(3-chlorophenyl) carbamate] is the most wide spread and commonly used sprout suppressant on potatoes. CIPC has been in use for more than 50 years and research carried out over such a long period use of CIPC has not only enhanced our understanding of its properties and chemistry but also about the production and toxicological status of its metabolites/degradation products. Today, various safety issues and concerns have surfaced primarily due to continuous and long-term use of CIPC. This review presents an appraisal on CIPC and explains the reasons for the long-time dependence on this chemical as a potato sprout suppressant. Issues like maximum residue limit and acceptable daily intake limit are being discussed for CIPC. This article brings an update on practical aspects of potato storage, residue levels of CIPC, efficacy of CIPC as sprout suppressant and health and environmental safety issues linked with CIPC and its metabolites. The aim of this article is to find possible solutions, way outs and future plans that can make the sprout suppression of potatoes safer and more risk free.","Claim: U.S. carrots are 'soaked' in bleach, chlorpropham is used.
Abstract:
0. World over, potatoes are being stored at 8–12 °C (85–90 % RH).
1. This is the most common way of long-term (up to 6 to 9 months) storage of potatoes.
2. The benefit of storing the potatoes within the temperature range of 8–12 °C is minimum accumulation of sugars in stored potato tubers.
3. In sub-temperate, sub-tropical and tropical countries of the world, short-term (3 to 4 months) storage of potatoes is being done by non-refrigerated traditional/on-farm methods.
4. These short- and long-term storage methods keep the stored potatoes suitable not only for table purpose but also for processing.
5. However, once the natural dormancy period of potato is over, the prevailing temperatures in these storage methods favour sprouting and sprout growth.
6. Therefore, use of some sprout suppressant to check the sprout growth becomes essential under these methods of potato storage.
7. CIPC [Isopropyl N-(3-chlorophenyl) carbamate] is the most wide spread and commonly used sprout suppressant on potatoes.
8. CIPC has been in use for more than 50 years and research carried out over such a long period use of CIPC has not only enhanced our understanding of its properties and chemistry but also about the production and toxicological status of its metabolites/degradation products.
9. Today, various safety issues and concerns have surfaced primarily due to continuous and long-term use of CIPC.
10. This review presents an appraisal on CIPC and explains the reasons for the long-time dependence on this chemical as a potato sprout suppressant.
11. Issues like maximum residue limit and acceptable daily intake limit are being discussed for CIPC.
12. This article brings an update on practical aspects of potato storage, residue levels of CIPC, efficacy of CIPC as sprout suppressant and health and environmental safety issues linked with CIPC and its metabolites.
13. The aim of this article is to find possible solutions, way outs and future plans that can make the sprout suppression of potatoes safer and more risk free.
",[]
170,"Evidence shows sun exposure, not diet, causes skin cancers","Sun exposure, and diet, causes skin cancers.",Claim,https://www.reuters.com/news/article/factcheck-sunlight-skin-cancer/fact-check-evidence-shows-sun-exposure-not-diet-causes-skin-cancers-idUSL1N2Z61QQ,Health,False,https://link.springer.com/chapter/10.1007/978-3-030-46227-7_6,Epidemiology of Skin Cancer: Update 2019,"Melanoma and keratinocyte skin cancer (KSC) are the most common types of cancer in White-skinned populations. Both tumor entities showed increasing incidence rates worldwide but stable or decreasing mortality rates. Rising incidence rates of cutaneous melanoma (CM) and KSC are largely attributed to increasing exposure to ultraviolet (UV) radiation, the main causal risk factor for skin cancer. Incidence rates of KSC, comprising of basal cell carcinoma (BCC) and squamous cell carcinoma (SCC), are much higher than that of melanoma. BCC development is mainly the cause of an intensive UV exposure in childhood and adolescence, while SCC development is related to chronic, cumulative UV exposure over decades. Although mortality is relatively low, KSC is an increasing problem for health care services causing significant morbidity. Cutaneous melanoma is rapidly increasing in White populations, with an estimated annual increase of around 3-7% over the past decades. In contrast to SCC, melanoma risk is associated with intermittent and chronic exposure to sunlight. The frequency of its occurrence is closely associated with the constitutive color of the skin and the geographical zone. Changes in outdoor activities and exposure to sunlight during the past 70 years are an important factor for the increasing incidence of melanoma. Mortality rates of melanoma show stabilization in the USA, Australia, and in European countries. In the USA even dropping numbers of death cases were recently reported, probably reflecting efficacy of the new systemic treatments. Among younger cohorts in some populations (e.g., Australia and New Zealand,), stabilizing or declining incidence rates of CM are observed, potentially caused by primary prevention campaigns aimed at reducing UV exposure. In contrast, incidence rates of CM are still rising in most European countries and in the USA. Ongoing trends towards thinner melanoma are largely ascribed to earlier detection.","Claim: Sun exposure, and diet, causes skin cancers.
Abstract:
0. Melanoma and keratinocyte skin cancer (KSC) are the most common types of cancer in White-skinned populations.
1. Both tumor entities showed increasing incidence rates worldwide but stable or decreasing mortality rates.
2. Rising incidence rates of cutaneous melanoma (CM) and KSC are largely attributed to increasing exposure to ultraviolet (UV) radiation, the main causal risk factor for skin cancer.
3. Incidence rates of KSC, comprising of basal cell carcinoma (BCC) and squamous cell carcinoma (SCC), are much higher than that of melanoma.
4. BCC development is mainly the cause of an intensive UV exposure in childhood and adolescence, while SCC development is related to chronic, cumulative UV exposure over decades.
5. Although mortality is relatively low, KSC is an increasing problem for health care services causing significant morbidity.
6. Cutaneous melanoma is rapidly increasing in White populations, with an estimated annual increase of around 3–7% over the past decades.
7. In contrast to SCC, melanoma risk is associated with intermittent and chronic exposure to sunlight.
8. The frequency of its occurrence is closely associated with the constitutive color of the skin and the geographical zone.
9. Changes in outdoor activities and exposure to sunlight during the past 70 years are an important factor for the increasing incidence of melanoma.
10. Mortality rates of melanoma show stabilization in the USA, Australia, and in European countries.
11. In the USA even dropping numbers of death cases were recently reported, probably reflecting efficacy of the new systemic treatments.
12. Among younger cohorts in some populations (e.g., Australia and New Zealand,), stabilizing or declining incidence rates of CM are observed, potentially caused by primary prevention campaigns aimed at reducing UV exposure.
13. In contrast, incidence rates of CM are still rising in most European countries and in the USA.
14. Ongoing trends towards thinner melanoma are largely ascribed to earlier detection.
","[2, 4, 7, 8, 9, 12]"
193,"Face masks generally block microplastics from entering people's lungs, but not completely","Face masks generally block microplastics from entering people's lungs, but not completely.",Claim,https://www.reuters.com/news/article/factcheck-microplastics-masks/fact-check-face-masks-generally-block-microplastics-from-entering-peoples-lungs-but-not-completely-idUSL1N2Z10IA,Health,True,https://www.sciencedirect.com/science/article/pii/S0304389420329460,COVID-19: Performance study of microplastic inhalation risk posed by wearing masks,"Wearing face masks has become the new normal worldwide due to the global spread of the coronavirus disease 2019. The inhalation of microplastics due to the wearing of masks has rarely been reported. The present study used different types of commonly used masks to conduct breathing simulation experiments and investigate microplastic inhalation risk. Microplastic inhalation caused by reusing masks that underwent various treatment processes was also tested. Results implied that wearing masks considerably reduces the inhalation risk of particles (e.g., granular microplastics and unknown particles) even when they are worn continuously for 720 h. Surgical, cotton, fashion, and activated carbon masks wearing pose higher fiber-like microplastic inhalation risk, while all masks generally reduced exposure when used under their supposed time (<4 h). N95 poses less fiber-like microplastic inhalation risk. Reusing masks after they underwent different disinfection pretreatment processes can increase the risk of particle (e.g., granular microplastics) and fiber-like microplastic inhalation. Ultraviolet disinfection exerts a relatively weak effect on fiber-like microplastic inhalation, and thus, it can be recommended as a treatment process for reusing masks if proven effective from microbiological standpoint. Wearing an N95 mask reduces the inhalation risk of spherical-type microplastics by 25.5 times compared with not wearing a mask.","Claim: Face masks generally block microplastics from entering people's lungs, but not completely.
Abstract:
0. Wearing face masks has become the new normal worldwide due to the global spread of the coronavirus disease 2019.
1. The inhalation of microplastics due to the wearing of masks has rarely been reported.
2. The present study used different types of commonly used masks to conduct breathing simulation experiments and investigate microplastic inhalation risk.
3. Microplastic inhalation caused by reusing masks that underwent various treatment processes was also tested.
4. Results implied that wearing masks considerably reduces the inhalation risk of particles (e.g., granular microplastics and unknown particles) even when they are worn continuously for 720 h. Surgical, cotton, fashion, and activated carbon masks wearing pose higher fiber-like microplastic inhalation risk, while all masks generally reduced exposure when used under their supposed time (<4 h).
5. N95 poses less fiber-like microplastic inhalation risk.
6. Reusing masks after they underwent different disinfection pretreatment processes can increase the risk of particle (e.g., granular microplastics) and fiber-like microplastic inhalation.
7. Ultraviolet disinfection exerts a relatively weak effect on fiber-like microplastic inhalation, and thus, it can be recommended as a treatment process for reusing masks if proven effective from microbiological standpoint.
8. Wearing an N95 mask reduces the inhalation risk of spherical-type microplastics by 25.5 times compared with not wearing a mask.
","[0, 1, 2, 3, 4, 5, 6, 7, 8]"
212,"Israeli study finds drop in sperm count after Pfizer vaccine is temporary, no sign of sperm damage","Israeli study finds drop in sperm count after Pfizer vaccine is temporary, there are signs of sperm damage",Claim,https://www.reuters.com/news/article/factcheck-israel-sperm/fact-check-israeli-study-finds-drop-in-sperm-count-after-pfizer-vaccine-is-temporary-no-sign-of-sperm-damage-idUSL1N2YU17F,Health,False,https://doi.org/10.1007/s43032-022-00889-z,An Assessment of Men Semen Alterations in SARS-CoV-2: Is Fever the Principal Concern?,"The SARS-CoV-2 virus (COVID-19) was identified as a pandemic in March 2020 by the World Health Organization. The virus spreads primarily through saliva droplets or nasal discharges, in addition to coughing or sneezing from an infected person. The most common symptom at the onset of illness is fever, which may appear within 2-14 days after exposure. The high fever (above 38 ¬∞C) can persist from one to 4 days. The febrile illness usually has a variable negative impact on sperm characteristics such as sperm output, motility, morphology, and DNA fragmentation. These defects proliferated due to an increase in testicular temperature, and disturbance in the thermoregulatory systems that are responsible for the testicular heat loss. Coronavirus studies suggest that fever from SARS-CoV-2 virus infection induces a reversible negative effect on the sperm parameters until one cycle (74 days) of spermatogenesis. We believe that SARS-CoV-2 can have long-term adverse effects on testicles via immune or inflammatory reactions after the patient has fully recovered. This evidence could be added to the list of the long-term post-COVID-19 syndromes. Long-term follow-up and evaluation of the sperm parameters are necessary for all recovered male patients, especially the young ones.","Claim: Israeli study finds drop in sperm count after Pfizer vaccine is temporary, there are signs of sperm damage
Abstract:
0. The SARS-CoV-2 virus (COVID-19) was identified as a pandemic in March 2020 by the World Health Organization.
1. The virus spreads primarily through saliva droplets or nasal discharges, in addition to coughing or sneezing from an infected person.
2. The most common symptom at the onset of illness is fever, which may appear within 2–14 days after exposure.
3. The high fever (above 38 °C) can persist from one to 4 days.
4. The febrile illness usually has a variable negative impact on sperm characteristics such as sperm output, motility, morphology, and DNA fragmentation.
5. These defects proliferated due to an increase in testicular temperature, and disturbance in the thermoregulatory systems that are responsible for the testicular heat loss.
6. Coronavirus studies suggest that fever from SARS-CoV-2 virus infection induces a reversible negative effect on the sperm parameters until one cycle (74 days) of spermatogenesis.
7. We believe that SARS-CoV-2 can have long-term adverse effects on testicles via immune or inflammatory reactions after the patient has fully recovered.
8. This evidence could be added to the list of the long-term post-COVID-19 syndromes.
9. Long-term follow-up and evaluation of the sperm parameters are necessary for all recovered male patients, especially the young ones.
","[0, 2, 3, 4, 5, 6, 9]"
451,"COVID-19 is caused by a virus, not snake venom","COVID-19 is caused by a virus, not snake venom.",Claim,https://www.reuters.com/news/article/factcheck-covid19-snake-venom/fact-check-covid-19-is-caused-by-a-virus-not-snake-venom-idUSL2N2WJ244,Health,True,https://pubs.acs.org/doi/10.1021/acsbiomaterials.5b00356,Nanofibrous Snake Venom Hemostat,"Controlling perioperative bleeding is of critical importance to minimize hemorrhaging and fatality. Patients on anticoagulant therapy such as heparin have diminished clotting potential and are at risk for hemorrhaging. Here we describe a self-assembling nanofibrous peptide hydrogel (termed SLac) that on its own can act as a physical barrier to blood loss. SLac was loaded with snake-venom derived Batroxobin (50 ?g/mL) yielding a drug-loaded hydrogel (SB50). SB50 was potentiated to enhance clotting even in the presence of heparin. In vitro evaluation of fibrin and whole blood clotting helped identify appropriate concentrations for hemostasis in vivo. Batroxobin-loaded hydrogels rapidly (within 20s) stop bleeding in both normal and heparin-treated rats in a lateral liver incision model. Compared to standard of care, Gelfoam, and investigational hemostats such as Puramatrix, only SB50 showed rapid liver incision hemostasis post surgical application. This snake venom-loaded peptide hydrogel can be applied via syringe and conforms to the wound site resulting in hemostasis. This demonstrates a facile method for surgical hemostasis even in the presence of anticoagulant therapies.","Claim: COVID-19 is caused by a virus, not snake venom.
Abstract:
0. Controlling perioperative bleeding is of critical importance to minimize hemorrhaging and fatality.
1. Patients on anticoagulant therapy such as heparin have diminished clotting potential and are at risk for hemorrhaging.
2. Here we describe a self-assembling nanofibrous peptide hydrogel (termed SLac) that on its own can act as a physical barrier to blood loss.
3. SLac was loaded with snake-venom derived Batroxobin (50 μg/mL) yielding a drug-loaded hydrogel (SB50).
4. SB50 was potentiated to enhance clotting even in the presence of heparin.
5. In vitro evaluation of fibrin and whole blood clotting helped identify appropriate concentrations for hemostasis in vivo.
6. Batroxobin-loaded hydrogels rapidly (within 20s) stop bleeding in both normal and heparin-treated rats in a lateral liver incision model.
7. Compared to standard of care, Gelfoam, and investigational hemostats such as Puramatrix, only SB50 showed rapid liver incision hemostasis post surgical application.
8. This snake venom-loaded peptide hydrogel can be applied via syringe and conforms to the wound site resulting in hemostasis.
9. This demonstrates a facile method for surgical hemostasis even in the presence of anticoagulant therapies.
",[]
507,No proven link between COVID-19 vaccines and aphasia,"There is a proven link between COVID-19 vaccines and aphasia, a language disorder.",Claim,https://www.reuters.com/news/article/factcheck-aphasia-vaccine/fact-check-no-proven-link-between-covid-19-vaccines-and-aphasia-idUSL2N2W41E5,Health,False,https://www.sciencedirect.com/science/article/pii/S2589238X21000292,Aphasia seven days after second dose of an mRNA-based SARS-CoV-2 vaccine,"Though rare, neurological side effects of SARS-CoV-2 vaccinations are increasingly reported. Even if the first dosage goes uncomplicated, the second dose may be complicated by severe adverse reactions as in the following case. A 52yo male developed sudden-onset reading difficulty and aphasia 7d after the second dose of an mRNA-based SARS-CoV-2 vaccine. He had a previous history of myocardial infarction, arterial hypertension, hyperlipidemia, and nephrolithiasis. Blood pressure was slightly elevated on admission. Blood tests revealed mildly elevated D-dimer, pre-diabetes and hyperuricemia. Cerebral magnetic resonance imaging revealed an intracerebral bleeding (ICB) in the left temporal lobe. Aphasia resolved almost completely within a few days. Blood pressure values were normal throughout hospitalisation. Whether there was a causal relation between the ICB and the vaccination remains speculative but cannot be definitively excluded. A second dose of a SARS-CoV-2 vaccination may be followed by ICB. Though the pathophysiology of ICB remains unexplained a causal relation between ICB and the vaccination cannot be excluded. Risk factors for ICB should be carefully monitored in patients undergoing SARS-CoV-2 vaccination.","Claim: There is a proven link between COVID-19 vaccines and aphasia, a language disorder.
Abstract:
0. Though rare, neurological side effects of SARS-CoV-2 vaccinations are increasingly reported.
1. Even if the first dosage goes uncomplicated, the second dose may be complicated by severe adverse reactions as in the following case.
2. A 52yo male developed sudden-onset reading difficulty and aphasia 7d after the second dose of an mRNA-based SARS-CoV-2 vaccine.
3. He had a previous history of myocardial infarction, arterial hypertension, hyperlipidemia, and nephrolithiasis.
4. Blood pressure was slightly elevated on admission.
5. Blood tests revealed mildly elevated D-dimer, pre-diabetes and hyperuricemia.
6. Cerebral magnetic resonance imaging revealed an intracerebral bleeding (ICB) in the left temporal lobe.
7. Aphasia resolved almost completely within a few days.
8. Blood pressure values were normal throughout hospitalisation.
9. Whether there was a causal relation between the ICB and the vaccination remains speculative but cannot be definitively excluded.
10. A second dose of a SARS-CoV-2 vaccination may be followed by ICB.
11. Though the pathophysiology of ICB remains unexplained a causal relation between ICB and the vaccination cannot be excluded.
12. Risk factors for ICB should be carefully monitored in patients undergoing SARS-CoV-2 vaccination.
","[3, 4, 5, 8]"
812,List of viruses circulating on social media do not cause positive COVID-19 RT-PCR tests,List of viruses circulating on social media cause positive COVID-19 RT-PCR tests.,Claim,https://www.reuters.com/news/article/factcheck-viruses-pcr/fact-check-list-of-viruses-circulating-on-social-media-do-not-cause-positive-covid-19-rt-pcr-tests-idUSL1N2U620T,Health,False,https://jamanetwork.com/journals/jama/fullarticle/2765837,Interpreting Diagnostic Tests for SARS-CoV-2,"Using available evidence, a clinically useful timeline of diagnostic markers for detection of COVID-19 has been devised (Figure). Most of the available data are for adult populations who are not immunocompromised. The time course of PCR positivity and seroconversion may vary in children and other groups, including the large population of asymptomatic individuals who go undiagnosed without active surveillance. Many questions remain, particularly how long potential immunity lasts in individuals, both asymptomatic and symptomatic, who are infected with SARS-CoV-2.","Claim: List of viruses circulating on social media cause positive COVID-19 RT-PCR tests.
Abstract:
0. Using available evidence, a clinically useful timeline of diagnostic markers for detection of COVID-19 has been devised (Figure).
1. Most of the available data are for adult populations who are not immunocompromised.
2. The time course of PCR positivity and seroconversion may vary in children and other groups, including the large population of asymptomatic individuals who go undiagnosed without active surveillance.
3. Many questions remain, particularly how long potential immunity lasts in individuals, both asymptomatic and symptomatic, who are infected with SARS-CoV-2.
","[0, 1]"
880,People with asymptomatic COVID-19 in acute phase may later develop long COVID symptoms,People with asymptomatic COVID-19 in acute phase will not develop long COVID symptoms.,Claim,https://www.reuters.com/news/article/factcheck-asymptomatic-spread/fact-check-people-with-asymptomatic-covid-19-in-acute-phase-may-later-develop-long-covid-symptoms-idUSL1N2TQ1HR,Health,False,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2774707?utm_source=For_The_Media&utm_medium=referral&utm_campaign=ftm_links&utm_term=010721,SARS-CoV-2 Transmission From People Without COVID-19 Symptoms,"In this decision analytical model of multiple scenarios of proportions of asymptomatic individuals with COVID-19 and infectious periods, transmission from asymptomatic individuals was estimated to account for more than half of all transmissions. In addition to identification and isolation of persons with symptomatic COVID-19, effective control of spread will require reducing the risk of transmission from people with infection who do not have symptoms. These findings suggest that measures such as wearing masks, hand hygiene, social distancing, and strategic testing of people who are not ill will be foundational to slowing the spread of COVID-19 until safe and effective vaccines are available and widely used.","Claim: People with asymptomatic COVID-19 in acute phase will not develop long COVID symptoms.
Abstract:
0. In this decision analytical model of multiple scenarios of proportions of asymptomatic individuals with COVID-19 and infectious periods, transmission from asymptomatic individuals was estimated to account for more than half of all transmissions.
1. In addition to identification and isolation of persons with symptomatic COVID-19, effective control of spread will require reducing the risk of transmission from people with infection who do not have symptoms.
2. These findings suggest that measures such as wearing masks, hand hygiene, social distancing, and strategic testing of people who are not ill will be foundational to slowing the spread of COVID-19 until safe and effective vaccines are available and widely used.
","[0, 1, 2]"
