,prompts,GPT_Response_1
0,"Read the claim below, then answer the question at the end:

Claim: Targeting cancer cells with resonant frequencies has been shown to 'cure' cancer.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE
1,"Read the claim below, then answer the question at the end:

Claim: Updated CDC guidance on monkeypox transmission still includes 'respiratory transmission'.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE
2,"Read the claim below, then answer the question at the end:

Claim: Sun exposure, and diet, causes skin cancers.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE
3,"Read the claim below, then answer the question at the end:

Claim: Post-pandemic stress disorder is caused by COVID-19 vaccines.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE
4,"Read the claim below, then answer the question at the end:

Claim: Left-handed people, on average, die younger than right-handed people.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE
5,"Read the claim below, then answer the question at the end:

Claim: Hand sanitizer can invalidate breath alcohol test results.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE
6,"Read the claim below, then answer the question at the end:

Claim: Comparisons of glacier counts are a reliable indicator of climate change
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE
7,"Read the claim below, then answer the question at the end:

Claim: Climate change occurs naturally as a result of changes in Earth's solar orbit and not anthropogenic factors.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE
8,"Read the claim below, then answer the question at the end:

Claim: Precipitation in smoky areas following a wildfire is extremely toxic.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE
9,"Read the claim below, then answer the question at the end:

Claim: Mass bleaching events in the Great Barrier Reef kill coral and risk the future of the reef.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE
10,"Read the claim below, then answer the question at the end:

Claim: Photos of the Statue of Liberty from 1898 and 2017 show that sea levels have not risen significantly.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE
11,"Read the claim below, then answer the question at the end:

Claim: The macaw species from the Rio movies has been declared extinct in the wild.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE
12,"Read the claim below, then answer the question at the end:

Claim: Climate change is only driven by variations to Earth's orbital position relative to the sun
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE
13,"Read the claim below, then answer the question at the end:

Claim: mRNA vaccines was used to 'murder'
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE
14,"Read the claim below, then answer the question at the end:

Claim: Millimeter wave body scanners used by airport security can alter your DNA.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE
15,"Read the claim below, then answer the question at the end:

Claim: U.S. carrots are 'soaked' in bleach, chlorpropham is used.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE
16,"Read the claim below, then answer the question at the end:

Claim: Face masks generally block microplastics from entering people's lungs, but not completely.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE
17,"Read the claim below, then answer the question at the end:

Claim: Israeli study finds drop in sperm count after Pfizer vaccine is temporary, there are signs of sperm damage
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE
